,business_name,service_name,on,address,lat,lng,gu,dong,l_dong
9043,(주)조선호텔앤리조트 조선팰리스강남 1914,일반음식점,영업,서울특별시 강남구 역삼동 676 센터필드,37.5032113,127.0414917,강남구,역삼,역삼1동
9044,(주)조선호텔앤리조트 조선팰리스강남 콘스탄스,일반음식점,영업,서울특별시 강남구 역삼동 676 센터필드,37.5032113,127.0414917,강남구,역삼,역삼1동
9045,(주)조선호텔앤리조트 조선팰리스강남 이타닉가든,일반음식점,영업,서울특별시 강남구 역삼동 676 센터필드,37.5032113,127.0414917,강남구,역삼,역삼1동
9046,(주)조선호텔앤리조트 조선팰리스강남 더그레이트홍연,일반음식점,영업,서울특별시 강남구 역삼동 676 센터필드,37.5032113,127.0414917,강남구,역삼,역삼1동
9047,일일칠삼겹도시락,일반음식점,영업,서울특별시 강남구 율현동 108-9 강남자동차매매장에이동,37.4692537,127.1188325,강남구,역삼,역삼1동
9048,싸다김밥 역삼역점,일반음식점,영업,서울특별시 강남구 역삼동 644-11,37.5014457,127.0350214,강남구,역삼,역삼동
9049,(주)콤팩트레코드바,일반음식점,영업,서울특별시 강남구 신사동 553-27,37.5221562,127.0257607,강남구,역삼,역삼동
9050,스타버그,일반음식점,영업,서울특별시 강남구 대치동 990,37.4992034,127.0630995,강남구,대치,대치동
9051,사케바 현,일반음식점,영업,서울특별시 강남구 역삼동 663-31,37.5059866,127.0400624,강남구,대치,대치동
9052,루카가든,일반음식점,영업,서울특별시 강남구 청담동 115-14,37.5273062,127.046858,강남구,역삼,역삼동
9053,눈치까스,일반음식점,영업,서울특별시 강남구 논현동 80-19,37.5162944,127.0301854,강남구,논현,논현동
9054,대치동제빵소 베이커리까페,일반음식점,영업,서울특별시 강남구 대치동 901-31,37.5027892,127.054916,강남구,논현,논현동
9055,청담류 로바타그릴,일반음식점,영업,서울특별시 강남구 청담동 20-13,37.5227231,127.042785,강남구,대치,대치동
9056,카페이모야(cafeimoya),일반음식점,영업,서울특별시 강남구 신사동 600-3,37.5237245,127.0298696,강남구,청담,청담동
9057,부띠끄,일반음식점,영업,서울특별시 강남구 대치동 890-44,37.5041008,127.0528862,강남구,대치,대치동
9058,더나인클럽,일반음식점,영업,서울특별시 강남구 신사동 643-1,37.5273393,127.0352389,강남구,대치,대치동
9059,배달의 명가 강남점,일반음식점,영업,서울특별시 강남구 역삼동 834-77,37.4937268,127.0347455,강남구,신사,신사동
9060,치카라 돈이찌,일반음식점,영업,서울특별시 강남구 압구정동 494 갤러리아백화점,37.5271478,127.0334517,강남구,역삼,역삼동
9061,숫돌,일반음식점,영업,서울특별시 강남구 삼성동 144-14 채널리저브,37.5080433,127.0554636,강남구,압구,압구정동
9062,보하라 학동점,일반음식점,영업,서울특별시 강남구 논현동 99-1,37.5210959,127.0378247,강남구,삼성,삼성동
9063,1989 in 발리,일반음식점,영업,서울특별시 강남구 논현동 170-27,37.5080893,127.0272291,강남구,논현,논현동
9064,막간(maggan),일반음식점,영업,서울특별시 강남구 역삼동 792-13,37.4940264,127.0360956,강남구,논현,논현동
9065,말랑(mallang),일반음식점,영업,서울특별시 강남구 논현동 187-16 성덕빌딩,37.51282,127.0278273,강남구,역삼,역삼동
9066,먹어도 돼지,일반음식점,영업,서울특별시 강남구 논현동 92-4,37.5219327,127.0371665,강남구,논현,논현동
9067,푸에르코 역삼 더시그니처(THE SIGNATURE),일반음식점,영업,서울특별시 강남구 역삼동 736-6 현익빌딩,37.4999942,127.0354155,강남구,논현,논현동
9068,돌깨마을 참도시락,일반음식점,영업,서울특별시 강남구 대치동 994-8,37.4987004,127.0680685,강남구,역삼,역삼동
9069,르네상스 티파니,일반음식점,영업,서울특별시 강남구 역삼동 677-5 남전타운,37.5033353,127.0403254,강남구,대치,대치2동
9070,도모다찌 coex 2호점,일반음식점,영업,서울특별시 강남구 청담동 132-4,37.52256020000001,127.056583,강남구,역삼,역삼동
9071,(주)핫토리 동대문엽기떡볶이 강남구청역점,일반음식점,영업,서울특별시 강남구 논현동 111-13 노벨빌딩,37.5179585,127.0402982,강남구,청담,청담동
9072,덮밥전문웍스50 청담점,일반음식점,영업,서울특별시 강남구 청담동 119-11,37.5246327,127.0479644,강남구,논현,논현동
9073,제이브로스에프앤비,일반음식점,영업,서울특별시 강남구 역삼동 669-7 힐하우스,37.5010845,127.0343187,강남구,청담,청담동
9074,상록수 묵사발,일반음식점,영업,서울특별시 강남구 일원동 734 상록수아파트,37.482024,127.0821324,강남구,역삼,역삼동
9075,돈까스해,일반음식점,영업,서울특별시 강남구 역삼동 791-11,37.4944307,127.0379459,강남구,역삼,역삼동
9076,에스트레인,일반음식점,영업,서울특별시 강남구 논현동 3-6,37.5163569,127.0216786,강남구,역삼,역삼동
9077,윤대감 빈대떡,일반음식점,영업,서울특별시 강남구 역삼동 825-24,37.4970267,127.0297692,강남구,역삼,역삼동
9078,도산뚝배기,일반음식점,영업,서울특별시 강남구 논현동 95-23 소프트시티,37.5215756,127.0386089,강남구,역삼,역삼동
9079,러빙헛 역삼점,일반음식점,영업,서울특별시 강남구 역삼동 828-51,37.4963065,127.0341922,강남구,역삼,역삼동
9080,금커피 별빙수(역삼점),일반음식점,영업,서울특별시 강남구 역삼동 792-48,37.4936677,127.0372877,강남구,역삼,역삼동
9081,인디고가든,일반음식점,영업,서울특별시 강남구 압구정동 494 갤러리아백화점,37.5271478,127.0334517,강남구,역삼,역삼동
9082,짬뽕지존 강남구청점,일반음식점,영업,서울특별시 강남구 논현동 241-14 보광빌딩,37.5162566,127.0402136,강남구,압구,압구정동
9083,달래해장 압구정로데오점,일반음식점,영업,서울특별시 강남구 신사동 656-22,37.5251266,127.0373204,강남구,논현,논현동
9084,소바애 역삼점,일반음식점,영업,서울특별시 강남구 역삼동 837-13 강남역 와이즈 플레이스,37.4917278,127.03184,강남구,신사,신사동
9085,카페쏘울,일반음식점,영업,서울특별시 강남구 논현동 223,37.5111713,127.0339777,강남구,논현,논현동
9086,컨버터,일반음식점,영업,서울특별시 강남구 압구정동 429 현대백화점본점,37.5273268,127.0274265,강남구,논현,논현동
9087,보그(VOGUE),일반음식점,영업,서울특별시 강남구 역삼동 831-24 예미프레스티지,37.4948619,127.0303579,강남구,역삼,역삼동
9088,지니스샐러드  Jinnie's salad,일반음식점,영업,서울특별시 강남구 역삼동 649 유니언타운 강남,37.4996032,127.029589,강남구,역삼,역삼동
9089,사케츠바사,일반음식점,영업,서울특별시 강남구 신사동 555,37.5207977,127.0242332,강남구,역삼,역삼1동
9090,게코도니아 더앨리 카페,일반음식점,영업,서울특별시 강남구 청담동 130-23,37.5252342,127.0555168,강남구,신사,신사동
9091,토주집 강남점,일반음식점,영업,서울특별시 강남구 역삼동 735-17 역삼 푸르지오 시티,37.4981764,127.0336436,강남구,청담,청담동
9092,로아다이닝,일반음식점,영업,서울특별시 강남구 청담동 56-9,37.5235186,127.0522122,강남구,역삼,역삼동
9093,달달볶는그녀,일반음식점,영업,서울특별시 강남구 개포동 1183-18번지 지상1층 3호,37.4748837,127.0528496,강남구,청담,청담동
9094,청담순두부두부공방,일반음식점,영업,서울특별시 강남구 신사동 654-7,37.5244399,127.0383721,강남구,개포,개포동
9095,오젬 인터내셔널(OZEM International),일반음식점,영업,서울특별시 강남구 신사동 589번지,37.5219338,127.0298989,강남구,신사,신사동
9096,바다와,일반음식점,영업,서울특별시 강남구 대치동 994-14번지,37.4975483,127.0688261,강남구,신사,신사동
9097,우대박,일반음식점,영업,"서울특별시 강남구 논현동 105-4 한진로즈힐상가101동 B124,B126",37.520717,127.0371476,강남구,대치,대치동
9098,이곧,일반음식점,영업,서울특별시 강남구 삼성동 9-12번지 지상1층,37.5146678,127.0428257,강남구,논현,논현동
9099,대치골한우곱창,일반음식점,영업,서울특별시 강남구 대치동 922-17번지,37.4983086,127.0528655,강남구,삼성,삼성동
9100,코너드 커피,일반음식점,영업,서울특별시 강남구 논현동 12-15 (지상1층),37.516893,127.0238833,강남구,대치,대치동
9101,송송 카츠,일반음식점,영업,서울특별시 강남구 도곡동 467-6번지 대림아크로빌 지하1층,37.4881202,127.0510778,강남구,논현,논현동
9102,신대흥장,일반음식점,영업,서울특별시 강남구 역삼동 637-36번지,37.500774,127.0333951,강남구,도곡,도곡동
9103,주식회사 장다리,일반음식점,영업,서울특별시 강남구 신사동 660-13 지상1층,37.5279001,127.0378874,강남구,역삼,역삼동
9104,숨스,일반음식점,영업,서울특별시 강남구 논현동 6-5,37.5180687,127.0254711,강남구,신사,신사동
9105,스타일(Style),일반음식점,영업,서울특별시 강남구 대치동 956-5번지,37.5061304,127.0598747,강남구,논현,논현동
9106,반 피차이,일반음식점,영업,서울특별시 강남구 논현동 145-12,37.509377,127.0245212,강남구,대치,대치동
9107,영동소금구이 논현본점,일반음식점,영업,서울특별시 강남구 논현동 163번지 지상1층,37.5088537,127.0234785,강남구,논현,논현동
9108,아르카,일반음식점,영업,서울특별시 강남구 청담동 21-21 지상3층,37.5220411,127.04169,강남구,논현,논현동
9109,일번지(1번지),일반음식점,영업,서울특별시 강남구 수서동 723번지 수서6반지상가106호,37.4863964,127.1006971,강남구,청담,청담동
9110,화기애애(강남1호점),일반음식점,영업,"서울특별시 강남구 역삼동 813-1번지 지하1, 지상1,2,3층",37.5028662,127.0265386,강남구,수서,수서동
9111,별난낙지,일반음식점,영업,서울특별시 강남구 도곡동 959-16,37.4859364,127.0366641,강남구,역삼,역삼동
9112,돌핀,일반음식점,영업,서울특별시 강남구 역삼동 821-1 강남역지하도상가 지하1층 E41호,37.4986121,127.0280561,강남구,도곡,도곡동
9113,JS가든(압구정점),일반음식점,영업,서울특별시 강남구 신사동 638-9번지 2층,37.5285084,127.0350089,강남구,신사,신사동
9114,맑은 바닷가,일반음식점,영업,서울특별시 강남구 삼성동 37-10번지,37.5112888,127.0448455,강남구,신사,신사동
9115,대독장 (강남점),일반음식점,영업,서울특별시 강남구 역삼동 828-22,37.4976175,127.0332825,강남구,삼성,삼성동
9116,써스티 몽크 청담점,일반음식점,영업,서울특별시 강남구 청담동 2-1번지 파로스빌딩1층,37.5228664,127.0402794,강남구,역삼,역삼동
9117,면요리 연구소,일반음식점,영업,서울특별시 강남구 삼성동 159-7,37.5085949,127.0597186,강남구,청담,청담동
9118,브롱스 강남역삼점,일반음식점,영업,서울특별시 강남구 역삼동 826-30번지 지하1층,37.4961505,127.0303601,강남구,삼성,삼성동
9119,생활맥주 강남일원점,일반음식점,영업,서울특별시 강남구 일원동 666-6번지 지상1층,37.4900757,127.0844827,강남구,역삼,역삼동
9120,사케리아 잇콘(SAKERIA-IKKON),일반음식점,영업,서울특별시 강남구 신사동 644-15번지,37.5265861,127.0358328,강남구,일원,일원동
9121,부부불이 동대문닭한마리,일반음식점,영업,서울특별시 강남구 논현동 98-12 지상1층,37.5204069,127.0360954,강남구,신사,신사동
