,brand,store,gu,dong,address_1,address_2,lat,lng
212,GS25,GS25역삼쏘도베점,강남구,역삼동,역삼동 644-19,강남구 강남대로94길95,37.50108252,127.03491264
213,GS25,GS25역삼아람점,강남구,역삼동,역삼동 788-20,"강남구 논현로64길14, 1층",37.49357584,127.04144384
214,GS25,GS25역삼아르누보점,강남구,역삼동,"역삼1동 701-1, 역삼아르누보씨티","강남구 언주로506, 1층101호102호",37.50340844,127.04281108
215,GS25,GS25역삼아워홈점,강남구,역삼동,역삼동 830-28,"강남구 역삼로3길10, 1층",37.49425251,127.03160792
216,GS25,GS25역삼영동점,강남구,역삼동,역삼1동 658,강남구 봉은사로30길11,37.50680879,127.03547232
217,GS25,GS25역삼우리점,강남구,역삼동,역삼동 732,"강남구 역삼로33길10, 1층",37.49784952,127.04177373
218,GS25,GS25역삼이담점,강남구,역삼동,역삼동 735-24,강남구 테헤란로16길15,37.4985529,127.03409699
219,GS25,GS25역삼자이점,강남구,역삼동,"역삼동 711-6, 역삼자이","강남구 언주로408, 상가 1층 117호",37.5004719,127.04403608
220,GS25,GS25역삼제스트점,강남구,역삼동,역삼동 695,"강남구 테헤란로53길48, 102호",37.50680371,127.04482626
221,GS25,GS25역삼제일점,강남구,역삼동,역삼1동 688-1,강남구 언주로108길6,37.5077923,127.04006314
222,GS25,GS25역삼지에스점,강남구,역삼동,역삼동 668-21,"강남구 봉은사로30길78, 1층",37.50248717,127.03699821
223,GS25,GS25역삼충현점,강남구,역삼동,역삼1동 660-33,강남구 논현로102길33,37.50577302,127.03773643
224,GS25,GS25역삼캐피탈점,강남구,역삼동,"역삼1동 736-37, 소정빌딩","강남구 논현로87길23, 1층",37.4993616,127.03492348
225,GS25,GS25역삼코디점,강남구,역삼동,역삼동 644-3,"강남구 논현로95길29-13, 1층",37.50109435,127.03415473
226,GS25,GS25역삼타운점,강남구,역삼동,역삼2동 779,강남구 언주로69길7,37.49642269,127.04472101
227,GS25,GS25역삼태극점,강남구,역삼동,"역삼1동 826-37, 쌍용플래티넘밸류","강남구 테헤란로4길46, B110호",37.49539581,127.03038311
228,GS25,GS25역삼테헤란점,강남구,역삼동,역삼1동 678-28,"강남구 테헤란로33길7, 1층 A호",37.50229864,127.03929655
229,GS25,GS25역삼프리미엄점,강남구,역삼동,역삼동 678-5,"강남구 논현로94길32, 1층",37.50289971,127.03897217
230,GS25,GS25역삼하나점,강남구,역삼동,"역삼1동 835-68, 롯데캐슬노블아파트","강남구 도곡로13길19, 상가 102호",37.49233118,127.0357603
231,GS25,GS25역삼햇살점,강남구,역삼동,"역삼동 727-14, 평화빌딩","강남구 논현로412, 104호",37.49688174,127.03910584
232,GS25,GS25역삼행복점,강남구,역삼동,역삼동 778-6,"강남구 언주로67길34, 1층 2호",37.49540798,127.04292451
233,GS25,GS25역삼혜성점,강남구,역삼동,역삼2동 723,강남구 테헤란로34길17,37.50045341,127.04064342
234,GS25,GS25역삼홍인점,강남구,역삼동,역삼동 666-15,"강남구 봉은사로30길43, 지하1층",37.5047424,127.03621145
235,GS25,GS25역삼효성점,강남구,역삼동,"역삼1동 824-11, 한라클래식107,108,109호",강남구 강남대로84길23,37.49713467,127.03036063
236,GS25,GS25역삼흑룡점,강남구,역삼동,역삼1동 752-23,강남구 역삼로11길5,37.49482366,127.0342355
237,GS25,GS25오크우드점,강남구,삼성동,삼성1동 159,"강남구 테헤란로87길46, 지하1층 삼성동",37.51098314,127.05810897
238,GS25,GS25와인25플러스점,강남구,역삼동,역삼동 679,강남구 논현로508,37.50176474,127.03680391
239,GS25,GS25율현은하점,강남구,율현동,"율현동 101-13, 강남자동차매매장","강남구 헌릉로745길37, B동 101호",37.46995776,127.11882362
240,GS25,GS25일원대청점,강남구,일원동,일원동 663-7,"강남구 일원로3길54, 1층",37.49239236,127.08421625
241,GS25,GS25일원삼성점,강남구,일원동,"일원동 717, 삼성생명일원동빌딩","강남구 일원로115, 1층 118호",37.48399606,127.0844205
242,GS25,GS25일원센타점,강남구,일원동,일원1동 680-4,강남구 양재대로33길6,37.48996994,127.0832394
243,GS25,GS25일원스타점,강남구,일원동,일원동 644-11,강남구 양재대로55길5,37.49123964,127.08779243
